apparatus,station,address,lon,lat
A14,14,"3224 4th Avenue South",-122.328576896632,47.57458775
A2,2,"2320 4th Avenue",-122.344780576877,47.6161239
A25,25,"1300 East Pine Street",-122.315139846854,47.61553745
A5,10,"400 S. Washington St.",-122.3285352,47.6011594
AIR240,24,"401 North 130th Street",-122.3538199,47.722984
AIR260,26,"800 S. Cloverdale Street",-122.3223729,47.526678
AIR9,10,"400 S. Washington St.",-122.3285352,47.6011594
B3,HMC,"325 9th Avenue",-122.324137717365,47.6038181
B4,18,"1521 NW Market Street",-122.3773729,47.668389
B5,30,"2931 S. Mt. Baker Blvd.",-122.2944826,47.5757482
B6,17,"1050 NE 50th Street",-122.316707748724,47.66527045
B7,29,"2139 Ferry Avenue SW",-122.3887303,47.5843833
COMVAN,22,"901 East Roanoke Street",-122.320672,47.643109
DEP1,HQ,"301 2nd Avenue South",-122.3319188,47.5998689
E1,5,"925 Alaskan Way",-122.338780497455,47.6035981
E10,10,"400 S. Washington St.",-122.3285352,47.6011594
E11,11,"1514 SW Holden Street",-122.35473507004,47.53395305
E13,13,"3601 Beacon Avenue S.",-122.308694165161,47.5717335
E16,16,"6846 Oswego Place NE",-122.3232199,47.67913
E17,17,"1050 NE 50th Street",-122.316707748724,47.66527045
E18,18,"1521 NW Market Street",-122.3773729,47.668389
E2,2,"2320 4th Avenue",-122.344780576877,47.6161239
E20,20,"2800 15th Avenue West",-122.3758951,47.6449244
E21,21,"7304 Greenwood Ave. N.",-122.355012070493,47.6820741
E22,22,"901 East Roanoke Street",-122.320672,47.643109
E24,24,"401 North 130th Street",-122.3538199,47.722984
E25,25,"1300 East Pine Street",-122.315139846854,47.61553745
E26,26,"800 S. Cloverdale Street",-122.3223729,47.526678
E27,27,"1000 South Myrtle Street",-122.3199276,47.5396543
E28,28,"5968 Rainier Avenue South",-122.276375903387,47.5486138
E29,29,"2139 Ferry Avenue SW",-122.3887303,47.5843833
E3,3,"1735 West Thurman Street",-122.378790474938,47.6554663
E30,30,"2931 S. Mt. Baker Blvd.",-122.2944826,47.5757482
E31,31,"1319 North Northgate Way",-122.3411315,47.7048289
E32,32,"3715 SW Alaska St.",-122.3797619,47.560882
E33,33,"9645 Renton Avenue South",-122.2686999,47.5159
E34,34,"633 32nd Avenue East",-122.291291369211,47.6259939
E35,35,"8729 15th Avenue NW",-122.377124,47.6932941
E36,36,"3600 23rd Avenue SW",-122.361738400297,47.57103595
E37,37,"7700 35th Avenue SW",-122.3763219,47.5335543
E38,38,"4004 NE 55th Street",-122.284505339106,47.6687424
E39,39,"2806 NE 127th Street",-122.2973803,47.721313
E4,5,"925 Alaskan Way",-122.338780497455,47.6035981
E40,40,"9401 35th Avenue NE",-122.2909092,47.6967627
E41,41,"2416 34th Avenue West",-122.400497344125,47.64014935
E5,5,"925 Alaskan Way",-122.338780497455,47.6035981
E6,6,"405 Martin Luther King Junior Way S.",-122.297866944087,47.59900675
E8,8,"110 Lee Street",-122.3548919,47.6311641
E9,9,"3829 Linden Avenue North",-122.3489415,47.6535588
HAZ1,10,"400 S. Washington St.",-122.3285352,47.6011594
L1,10,"400 S. Washington St.",-122.3285352,47.6011594
L10,25,"1300 East Pine Street",-122.315139846854,47.61553745
L11,32,"3715 SW Alaska St.",-122.3797619,47.560882
L12,28,"5968 Rainier Avenue South",-122.276375903387,47.5486138
L13,11,"1514 SW Holden Street",-122.35473507004,47.53395305
L3,6,"405 Martin Luther King Junior Way S.",-122.297866944087,47.59900675
L4,2,"2320 4th Avenue",-122.344780576877,47.6161239
L5,31,"1319 North Northgate Way",-122.3411315,47.7048289
L6,8,"110 Lee Street",-122.3548919,47.6311641
L7,14,"3224 4th Avenue South",-122.328576896632,47.57458775
L8,18,"1521 NW Market Street",-122.3773729,47.668389
L9,17,"1050 NE 50th Street",-122.316707748724,47.66527045
M1,HMC,"325 9th Avenue",-122.324137717365,47.6038181
M10,HMC,"325 9th Avenue",-122.324137717365,47.6038181
M16,17,"1050 NE 50th Street",-122.316707748724,47.66527045
M18,18,"1521 NW Market Street",-122.3773729,47.668389
M28,28,"5968 Rainier Avenue South",-122.276375903387,47.5486138
M31,31,"1319 North Northgate Way",-122.3411315,47.7048289
M32,32,"3715 SW Alaska St.",-122.3797619,47.560882
M44,HMC,"325 9th Avenue",-122.324137717365,47.6038181
MAR5,FMO,"220 3rd Avenue South",-122.330055,47.6002905
MARVAN,36,"3600 23rd Avenue SW",-122.361738400297,47.57103595
MCI1,21,"7304 Greenwood Ave. N.",-122.355012070493,47.6820741
PIO,HQ,"301 2nd Avenue South",-122.3319188,47.5998689
R1,14,"3224 4th Avenue South",-122.328576896632,47.57458775
SAFT2,HQ,"301 2nd Avenue South",-122.3319188,47.5998689
STAF10,HQ,"301 2nd Avenue South",-122.3319188,47.5998689
